position,height_w_shoes,height_wo_shoes,player_name,body_fat_pct,hand_length,hand_width,standing_reach,weight_lbs,wingspan,height_w_shoes_inches,height_wo_shoes_inches
SF,,6' 5.75'',Michael Ajayi,,9.5,9.75,106.5,227.8,84.75,,77.75
SF,,6' 7.25'',Melvin Ajinca,,8.5,9.75,106.5,213.8,79.5,,79.25
SG,,6' 3.25'',Trey Alexander,,8.75,10.0,101.5,187.0,82.5,,75.25
C,,6' 9.25'',Izan Almansa,,9.25,9.25,110.0,219.6,85.0,,81.25
PG,,6' 1.25'',Reece Beekman,,8.5,9.0,100.0,196.4,78.5,,73.25
C,,6' 8.25'',Adem Bona,,9.5,10.0,108.0,243.2,87.75,,80.25
PF,,6' 9.25'',Trevon Brazile,,9.0,10.25,108.5,215.0,87.75,,81.25
SF,,6' 6.75'',Jalen Bridges,,9.0,10.0,105.0,213.4,82.0,,78.75
SF,,6' 8.75'',Matas Buzelis,,8.5,9.25,105.5,197.0,82.0,,80.75
PG,,6' 3.75'',Carlton Carrington,,8.5,9.25,99.0,194.8,80.0,,75.75
SG,,6' 2.25'',Devin Carter,,8.75,9.0,98.0,193.0,80.75,,74.25
SG,,6' 5.50'',Stephon Castle,,8.75,8.75,102.0,210.0,81.0,,77.5
C,,6' 10.25'',Ulrich Chomche,,9.25,10.25,109.0,232.4,88.0,,82.25
SG,,6' 4.50'',Cam Christie,,8.0,8.0,101.5,190.4,80.0,,76.5
SF,,6' 5.00'',Nique Clifford,,8.0,9.0,102.0,198.6,80.0,,77.0
C,,7' 1.75'',Donovan Clingan,,10.0,10.25,115.0,282.0,90.75,,85.75
PG,,6' 2.50'',Isaiah Collier,,8.5,9.0,97.5,204.6,76.75,,74.5
PF,,6' 8.25'',Tristan Da Silva,,9.0,9.5,104.5,216.8,82.25,,80.25
SF,,6' 7.75'',Pacome Dadiet,,8.5,9.0,107.5,216.8,81.0,,79.75
C,,6' 10.00'',N'Faly Dante,,9.25,10.0,111.0,260.2,90.0,,82.0
PG,,6' 1.00'',Robert Dillingham,,8.0,8.25,95.0,164.2,75.0,,73.0
SF,,6' 7.00'',Nikola Djurisic,,8.5,10.0,102.5,208.8,80.0,,79.0
PF,,6' 6.25'',Ryan Dunn,,9.0,9.75,103.0,213.6,85.5,,78.25
C,,7' 3.75'',Zach Edey,,10.0,10.75,115.0,299.0,94.75,,87.75
SF,,6' 6.00'',Justin Edwards,,8.75,8.75,102.5,209.4,82.0,,78.0
C,,6' 11.50'',Jesse Edwards,,9.25,10.0,111.0,236.0,89.0,,83.5
PG-SG,,6' 0.75'',Boogie Ellis,,9.0,9.5,98.0,185.0,79.0,,72.75
PF,,6' 10.75'',Kyle Filipowski,,8.75,9.5,107.0,229.8,82.5,,82.75
SF,,6' 6.50'',Trentyn Flowers,,8.75,9.5,100.5,201.4,80.25,,78.5
PF,,6' 7.25'',Enrique Freeman,,8.75,10.0,108.0,212.0,86.0,,79.25
SF,,6' 7.50'',Johnny Furphy,,8.0,9.5,104.5,188.8,80.0,,79.5
SF,,6' 7.00'',Kyshawn George,,9.0,10.25,105.0,208.8,82.25,,79.0
SF,,6' 5.75'',Tyon Grant-Foster,,8.75,9.25,104.0,215.2,83.75,,77.75
C,,6' 8.25'',PJ Hall,,9.0,9.75,103.5,239.6,85.5,,80.25
