position,player_name,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions
SF,Michael Ajayi,11.77,3.17,3.21,27.0,34.5,
SF,Melvin Ajinca,11.78,3.0,3.38,26.5,31.0,
SG,Trey Alexander,11.37,2.92,3.21,26.5,32.0,
C,Izan Almansa,10.94,2.96,3.11,28.0,35.0,
PG,Reece Beekman,10.86,3.08,2.94,30.0,36.5,
C,Adem Bona,11.01,3.01,3.15,35.0,40.0,
PF,Trevon Brazile,11.15,3.01,3.09,33.0,41.0,
SF,Jalen Bridges,11.14,3.0,3.16,25.0,32.0,
SF,Matas Buzelis,10.73,2.9,3.09,31.0,38.0,
PG,Carlton Carrington,11.28,2.99,3.16,28.5,36.5,
SG,Devin Carter,10.63,2.9,2.87,35.0,42.0,
SG,Stephon Castle,10.93,2.91,3.19,28.5,37.0,
C,Ulrich Chomche,11.74,2.84,3.1,29.0,35.5,
SG,Cam Christie,11.07,2.95,3.07,32.5,35.5,
SF,Nique Clifford,10.95,3.1,3.08,30.0,37.0,
C,Donovan Clingan,12.06,3.38,3.46,25.5,29.0,
PG,Isaiah Collier,10.77,2.9,3.04,30.0,34.0,
PF,Tristan Da Silva,10.81,2.82,3.09,28.5,35.5,
SF,Pacome Dadiet,11.84,2.94,3.21,29.0,36.0,
C,N'Faly Dante,11.55,3.04,3.23,27.0,33.0,
PG,Robert Dillingham,,,,,,
SF,Nikola Djurisic,10.63,2.92,3.12,27.5,34.5,
PF,Ryan Dunn,10.99,2.88,3.12,32.0,38.5,
C,Zach Edey,11.19,3.01,3.42,26.0,31.5,
SF,Justin Edwards,12.07,3.22,3.18,28.0,32.5,
C,Jesse Edwards,11.24,3.23,3.33,30.5,35.5,
PG-SG,Boogie Ellis,11.98,3.33,3.19,31.5,39.5,
PF,Kyle Filipowski,11.43,2.93,3.19,27.0,32.5,
SF,Trentyn Flowers,11.01,3.0,3.13,34.5,42.0,
PF,Enrique Freeman,10.99,3.04,3.26,30.5,35.0,
SF,Johnny Furphy,11.15,3.17,3.2,25.5,32.0,
