position,suffix,player_slug,first_name,middle_name,last_name,draft_year,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions,body_fat_pct,hand_length,hand_width,height_w_shoes,height_wo_shoes,standing_reach,weight_lbs,wingspan,hand_length_inches,hand_width_inches,height_w_shoes_inches,height_wo_shoes_inches,standing_reach_inches,wingspan_inches,player_name
sf,,michael__ajayi__2024,michael,,ajayi,2024.0,11.77,3.17,3.21,27.0,34.5,,,9.50,9.75,,6' 5.75'',8' 10.50'',227.8,7' 0.75'',9.5,9.75,,77.75,106.5,84.75,michael ajayi
sf,,melvin__ajinca__2024,melvin,,ajinca,2024.0,11.78,3.0,3.38,26.5,31.0,,,8.50,9.75,,6' 7.25'',8' 10.5'',213.8,6' 7.5'',8.5,9.75,,79.25,106.5,79.5,melvin ajinca
sg,,trey__alexander__2024,trey,,alexander,2024.0,11.37,2.92,3.21,26.5,32.0,,,8.75,10.00,,6' 3.25'',8' 5.50'',187.0,6' 10.50'',8.75,10.0,,75.25,101.5,82.5,trey alexander
c,,izan__almansa__2024,izan,,almansa,2024.0,10.94,2.96,3.11,28.0,35.0,,,9.25,9.25,,6' 9.25'',9' 2.00'',219.6,7' 1.00'',9.25,9.25,,81.25,110.0,85.0,izan almansa
pg,,reece__beekman__2024,reece,,beekman,2024.0,10.86,3.08,2.94,30.0,36.5,,,8.50,9.00,,6' 1.25'',8' 4.00'',196.4,6' 6.50'',8.5,9.0,,73.25,100.0,78.5,reece beekman
c,,adem__bona__2024,adem,,bona,2024.0,11.01,3.01,3.15,35.0,40.0,,,9.50,10.00,,6' 8.25'',9' 0.00'',243.2,7' 3.75'',9.5,10.0,,80.25,108.0,87.75,adem bona
pf,,trevon__brazile__2024,trevon,,brazile,2024.0,11.15,3.01,3.09,33.0,41.0,,,9.00,10.25,,6' 9.25'',9' 0.50'',215.0,7' 3.75'',9.0,10.25,,81.25,108.5,87.75,trevon brazile
sf,,jalen__bridges__2024,jalen,,bridges,2024.0,11.14,3.0,3.16,25.0,32.0,,,9.00,10.00,,6' 6.75'',8' 9.00'',213.4,6' 10.00'',9.0,10.0,,78.75,105.0,82.0,jalen bridges
sf,,matas__buzelis__2024,matas,,buzelis,2024.0,10.73,2.9,3.09,31.0,38.0,,,8.50,9.25,,6' 8.75'',8' 9.50'',197.0,6' 10.00'',8.5,9.25,,80.75,105.5,82.0,matas buzelis
pg,,carlton__carrington__2024,carlton,,carrington,2024.0,11.28,2.99,3.16,28.5,36.5,,,8.50,9.25,,6' 3.75'',8' 3.00'',194.8,6' 8.00'',8.5,9.25,,75.75,99.0,80.0,carlton carrington
sg,,devin__carter__2024,devin,,carter,2024.0,10.63,2.9,2.87,35.0,42.0,,,8.75,9.00,,6' 2.25'',8' 2.00'',193.0,6' 8.75'',8.75,9.0,,74.25,98.0,80.75,devin carter
sg,,stephon__castle__2024,stephon,,castle,2024.0,10.93,2.91,3.19,28.5,37.0,,,8.75,8.75,,6' 5.50'',8' 6.00'',210.0,6' 9.00'',8.75,8.75,,77.5,102.0,81.0,stephon castle
c,,ulrich__chomche__2024,ulrich,,chomche,2024.0,11.74,2.84,3.1,29.0,35.5,,,9.25,10.25,,6' 10.25'',9' 1.00'',232.4,7' 4.00'',9.25,10.25,,82.25,109.0,88.0,ulrich chomche
sg,,cam__christie__2024,cam,,christie,2024.0,11.07,2.95,3.07,32.5,35.5,,,8.00,8.00,,6' 4.50'',8' 5.50'',190.4,6' 8.00'',8.0,8.0,,76.5,101.5,80.0,cam christie
sf,,nique__clifford__2024,nique,,clifford,2024.0,10.95,3.1,3.08,30.0,37.0,,,8.00,9.00,,6' 5.00'',8' 6.00'',198.6,6' 8.00'',8.0,9.0,,77.0,102.0,80.0,nique clifford
c,,donovan__clingan__2024,donovan,,clingan,2024.0,12.06,3.38,3.46,25.5,29.0,,,10.00,10.25,,7' 1.75'',9' 7.00'',282.0,7' 6.75'',10.0,10.25,,85.75,115.0,90.75,donovan clingan
pg,,isaiah__collier__2024,isaiah,,collier,2024.0,10.77,2.9,3.04,30.0,34.0,,,8.50,9.00,,6' 2.50'',8' 1.50'',204.6,6' 4.75'',8.5,9.0,,74.5,97.5,76.75,isaiah collier
pf,,tristan_da_silva__2024,tristan,da,silva,2024.0,10.81,2.82,3.09,28.5,35.5,,,9.00,9.50,,6' 8.25'',8' 8.50'',216.8,6' 10.25'',9.0,9.5,,80.25,104.5,82.25,tristan da silva
sf,,pacome__dadiet__2024,pacome,,dadiet,2024.0,11.84,2.94,3.21,29.0,36.0,,,8.50,9.00,,6' 7.75'',8' 11.5'',216.8,6' 9'',8.5,9.0,,79.75,107.5,81.0,pacome dadiet
c,,n'faly__dante__2024,n'faly,,dante,2024.0,11.55,3.04,3.23,27.0,33.0,,,9.25,10.00,,6' 10.00'',9' 3.00'',260.2,7' 6.00'',9.25,10.0,,82.0,111.0,90.0,n'faly dante
pg,,robert__dillingham__2024,robert,,dillingham,2024.0,,,,,,,,8.00,8.25,,6' 1.00'',7' 11.00'',164.2,6' 3.00'',8.0,8.25,,73.0,95.0,75.0,robert dillingham
sf,,nikola__djurisic__2024,nikola,,djurisic,2024.0,10.63,2.92,3.12,27.5,34.5,,,8.50,10.00,,6' 7.00'',8' 6.50'',208.8,6' 8.00'',8.5,10.0,,79.0,102.5,80.0,nikola djurisic
